F dF f df Qpv Qpvq dQpv WD dWd Qel dQel etath detath ethathq detathq etaeff detaeff etaeffq detaeffq
0,84 0,02 217,5 1,5 1,36010 1,41630 0,02937 1,31947 0,03142 0,72598 0,01472 1,8734753008 0,05549 1,98172 0,05741 1,8175078461 0,05683 1,84536 0,05766
0,84 0,02 217 1,5 1,42959 1,41630 0,02937 1,31947 0,03142 0,72765 0,01475 1,9646677011 0,05671 1,98172 0,05741 1,8133296672 0,05671 1,84536 0,05766
0,84 0,02 228 1,5 1,45921 1,41630 0,02937 1,31947 0,03142 0,69254 0,01397 2,1070290057 0,06004 1,98172 0,05741 1,9052496042 0,05945 1,84536 0,05766
0,62 0,02 263,3 1,5 1,46478 1,53898 0,13824 0,97389 0,03142 0,59970 0,01193 2,4425368841 0,23558 2,50795 0,23042 1,6239785761 0,06155 1,58409 0,06007
0,62 0,02 260 1,5 1,80673 1,53898 0,13824 0,97389 0,03142 0,60731 0,01210 2,9749829006 0,23521 2,50795 0,23042 1,6036248757 0,06080 1,58409 0,06007
0,62 0,02 247,2 1,5 1,34543 1,53898 0,13824 0,97389 0,03142 0,63875 0,01278 2,1063349968 0,22048 2,50795 0,23042 1,5246771895 0,05787 1,58409 0,06007
0,4 0,02 290,4 1,5 1,25451 1,37074 0,07124 0,62832 0,03142 0,54373 0,01074 2,3072178847 0,13871 2,55148 0,14180 1,1555649229 0,06212 1,16883 0,06283
0,4 0,02 294,3 1,5 1,35750 1,37074 0,07124 0,62832 0,03142 0,53653 0,01059 2,5301599113 0,14185 2,55148 0,14180 1,1710838733 0,06295 1,16883 0,06283
0,4 0,02 296,5 1,5 1,50021 1,37074 0,07124 0,62832 0,03142 0,53255 0,01050 2,8170504433 0,14484 2,55148 0,14180 1,179838153 0,06342 1,16883 0,06283
0,2 0,02 330 1,5 1,20642 1,30838 0,09481 0,31416 0,03142 0,47848 0,00938 2,5213337555 0,20421 2,72811 0,20491 0,6565709789 0,06691 0,65524 0,06677
0,2 0,02 330 1,5 1,22092 1,30838 0,09481 0,31416 0,03142 0,47848 0,00938 2,5516377454 0,20435 2,72811 0,20491 0,6565709789 0,06691 0,65524 0,06677
0,2 0,02 328 1,5 1,49781 1,30838 0,09481 0,31416 0,03142 0,48140 0,00944 3,1113469284 0,20617 2,72811 0,20491 0,6525917608 0,06650 0,65524 0,06677
