Maximum Ordnung Pos Int dInt dPos
True 0 972.81 3910 1 3
True 1 1084.81 349.3 1 3
True 2 1170.07 173.4 1 3
True 3 1249.47 129.7 1 3
True 4 1328.04 109.0 1 3
True 5 1408.2 101.2 1 3
True -1 856.6 323.2 1 3
True -2 774.73 176.5 1 3
True -3 696.1 114.7 1 3
True -4 613.4 114.7 1 3
True -5 534 103.8 1 3
False 1 1052.2 100.1 1 3
False 2 1131.6 93 1 3
False 3 1210.1 88.1 1 3
False 4 1291.26 87.7 1 3
False 5 1367.3 87.9 1 3
False -1 890.9 93.4 1 3
False -2 811.5 89.2 1 3
False -3 730.4 88.2 1 3
False -4 649.35 88 1 3
False -5 576.64 87.9 1 3
